proxy,owner,originalOwner,transfers,status,totalCOMP,totalWei,rewards-v3-arbitrum-0x354a6da3-87335214-503170370.merkl.json
0x7E2E2938F5a21053d10E64b76295b0740e148e77,0x039a8f446c97817B737aEf5F3eDc210289393553,0x039a8f446c97817B737aEf5F3eDc210289393553,0,active,46.63143,46631430000000000000,46631430000000000000
0x4301b4f856C64876E709af891e3eD32A518D6509,0x2817601Bb438F48655421F4a43974b40aE20cF72,0x2817601Bb438F48655421F4a43974b40aE20cF72,0,closed,22.827306,22827306000000000000,22827306000000000000
0xB182876FDCDcB7c1FC2c69aEA7226b6d30CE21E7,0x4F2b5981D89A1C60Bc73eA23edef2797447B3C17,0x4F2b5981D89A1C60Bc73eA23edef2797447B3C17,0,closed,15.823166,15823166000000000000,15823166000000000000
0xbFeC429eBc8D3106D321ceF5081Ac99383Cc6a65,0x9a85b7A63849CA930fBc32C4EF11BfC9E1A7659F,0x9a85b7A63849CA930fBc32C4EF11BfC9E1A7659F,0,active,5.906428,5906428000000000000,5906428000000000000
0x6ceE3E67Fb3DD875E5E1929b64b42e962fE1D30C,0xdf9E6BeaC070699B262dF28bB7B0bCd7EFf33D95,0xdf9E6BeaC070699B262dF28bB7B0bCd7EFf33D95,0,closed,5.472744,5472744000000000000,5472744000000000000
0x39AA84019b0131b137E4d44C12eF541814F40312,0xfbf6D5D92DAbFC042A8930a5B2c08ac5b1b37EF6,0xfbf6D5D92DAbFC042A8930a5B2c08ac5b1b37EF6,0,closed,4.112237,4112237000000000000,4112237000000000000
0xe04bf053eA81Bc71e2D2e69743812986Ff36DA85,0xF24b93b5E2a938153ec26E3b843d57e981A95360,0xF24b93b5E2a938153ec26E3b843d57e981A95360,0,closed,2.921253,2921253000000000000,2921253000000000000
0xa8EE26506de28c807E58436936e091E2c35Beb38,0x6e9702e45D6F5D554CFBA7dBC3a8b0Bd260C88aE,0x6e9702e45D6F5D554CFBA7dBC3a8b0Bd260C88aE,0,active,2.618235,2618235000000000000,2618235000000000000
0xB2ffB39596FA26D473cc986521Add6E134aD193F,0xda603487d8A7F1c410743871507051880538863F,0xda603487d8A7F1c410743871507051880538863F,0,active,2.518019,2518019000000000000,2518019000000000000
0x1e4a196218e9a9BFfdAb1B11DaCd4749b88ce642,0x0A9AcA1ae6b4E60931a1a8eF034580074Bff763c,0x0A9AcA1ae6b4E60931a1a8eF034580074Bff763c,0,closed,2.175283,2175283000000000000,2175283000000000000
0x9617c727859F94D013Eb9C249F7561a893bAfcc8,0x36cc7B13029B5DEe4034745FB4F24034f3F2ffc6,0x36cc7B13029B5DEe4034745FB4F24034f3F2ffc6,0,closed,1.95751,1957510000000000000,1957510000000000000
0x61946559F4c24444ab06EC8A76205a54d85Ebe51,0x107406ad2df1049c0d1fcc967A869c183Ac1a031,0x107406ad2df1049c0d1fcc967A869c183Ac1a031,0,active,1.950207,1950207000000000000,1950207000000000000
0xCDA091C40F13d650f7e8f8847476B828e976B764,0x23F7279377C7DEbFCb10FbA60515825a2264E9AF,0x23F7279377C7DEbFCb10FbA60515825a2264E9AF,0,active,1.86031,1860310000000000000,1860310000000000000
0xbeEfbB51fd3745fc1f0967a959A948f2cb2C5E7c,0x36cc7B13029B5DEe4034745FB4F24034f3F2ffc6,0x36cc7B13029B5DEe4034745FB4F24034f3F2ffc6,0,closed,1.830661,1830661000000000000,1830661000000000000
0x23D9D9D659c8B1A813D4Ce0d3072BfCeF9932402,0xA8DDc541d443d29D61375A3E4E190Ac81fB88608,0xA8DDc541d443d29D61375A3E4E190Ac81fB88608,0,active,1.684835,1684835000000000000,1684835000000000000
0x90bdF9DC5A07858BB3224AC742e49B0c624FB0F4,0x4B855FcDcf8830612EbC30bc6180b87d9BeA08E1,0x4B855FcDcf8830612EbC30bc6180b87d9BeA08E1,0,closed,1.681526,1681526000000000000,1681526000000000000
0x9927d72A634Cee28a85ecCBABA80Bc65059178b0,0xF2f17254d94769f38f92aa3dAE5b6e0077d618dB,0xF2f17254d94769f38f92aa3dAE5b6e0077d618dB,0,active,1.66424,1664240000000000000,1664240000000000000
0xC9d3CC743F21E3C3113a335957E9eF2741eC3995,0xc11c720C554db80A89FfEA960633429be61c6a10,0xc11c720C554db80A89FfEA960633429be61c6a10,0,closed,1.389185,1389185000000000000,1389185000000000000
0xeC370Fd86306dfcBeF7056D790f8aCaDCaFfdf16,0x4009c6ED84E7c5674066A76F61CB087319a277f8,0x4009c6ED84E7c5674066A76F61CB087319a277f8,0,active,1.294027,1294027000000000000,1294027000000000000
