proxy,owner,originalOwner,transfers,status,totalCOMP,totalWei,rewards-v3-base-0x9e1028f5-2197588-51059175.merkl.json
0xcAaF93badD79f13B87fA45113cfB8a8C0D7adAdF,0x0e2852b070fbF866acecb93DeC04b91F02804cFE,0x0e2852b070fbF866acecb93DeC04b91F02804cFE,0,closed,11.364542,11364542000000000000,11364542000000000000
0x5c32d2f4Feb14114e445AF217D6a840549a0fe90,0x6a3F6D4de1F891E776ac0a1e57D46bBba3b0CadA,0x6a3F6D4de1F891E776ac0a1e57D46bBba3b0CadA,0,active,4.421805,4421805000000000000,4421805000000000000
0x66a510Db3aBeEc38A07E598e3cFb8858F35E15B3,0xB22EDb681c995720227a7d62769C5C350fDBD82A,0xB22EDb681c995720227a7d62769C5C350fDBD82A,0,active,2.027873,2027873000000000000,2027873000000000000
0x74a889703fd34a475108B5781C1173D9cA46c3f9,0x50bA55bF41580f0Ba7dF31d9d20b129e6d2Df6aE,0x50bA55bF41580f0Ba7dF31d9d20b129e6d2Df6aE,0,active,1.679153,1679153000000000000,1679153000000000000
0x6136A9dF1a8701Ed4509c7725D77D351b278C3De,0xc11c720C554db80A89FfEA960633429be61c6a10,0xc11c720C554db80A89FfEA960633429be61c6a10,0,closed,1.626777,1626777000000000000,1626777000000000000
0x8805812989827Bd235A615F4c2D1E06D41d23631,0xC82A81e90316D64e48A789c85c2428cFad44633B,0xC82A81e90316D64e48A789c85c2428cFad44633B,0,active,1.547218,1547218000000000000,1547218000000000000
0x1d6EeAD828aE58B799ae32026DD7B7F735Ca4F0b,0xb36eB15D89E21274A029E03e80BD45A3A7fd4271,0xb36eB15D89E21274A029E03e80BD45A3A7fd4271,0,closed,1.326201,1326201000000000000,1326201000000000000
0x41d29063aF0d57a287a7dF7EA021074F596f7D53,0x6D7Ac63Aaa7bA8925dcB3E44BE6355261dCF688f,0x6D7Ac63Aaa7bA8925dcB3E44BE6355261dCF688f,0,closed,1.025538,1025538000000000000,1025538000000000000
0xB0055F597d56a8294bc6ada6b9D7e08a2A271511,0x295ee882FeE40aaeB8c243C9BC173761CF1508d7,0x295ee882FeE40aaeB8c243C9BC173761CF1508d7,0,closed,0.49817,498170000000000000,498170000000000000
0xb0E62d9A07367112736eF151D89524e783f209B7,0x67B799eF275FB013adb6c759b77546f5C16fB1E9,0x1F80Ad29759Dff3133f49b077b920290552eee83,1,active,0.374756,374756000000000000,374756000000000000
0xFd6789b6d6962Ef8C0b30461D420e82fa38071c4,0xC64f113fc97F3EB621cca6B14010D6900e1C406D,0xC64f113fc97F3EB621cca6B14010D6900e1C406D,0,active,0.283115,283115000000000000,283115000000000000
0x11368388DF0fDcAB19318146Bc375E012561eeB3,0xA8DDc541d443d29D61375A3E4E190Ac81fB88608,0xA8DDc541d443d29D61375A3E4E190Ac81fB88608,0,active,0.25562,255620000000000000,255620000000000000
0x65ec70C37344a5854f3cE763A5de61E08422a9b5,0xDf697123Fe8c948B4EA750d81D88688D1f67Af49,0xDf697123Fe8c948B4EA750d81D88688D1f67Af49,0,closed,0.255548,255548000000000000,255548000000000000
0x038BDa5D5F11fB27dFEc320821885dc9eD54a847,0x50bA55bF41580f0Ba7dF31d9d20b129e6d2Df6aE,0x50bA55bF41580f0Ba7dF31d9d20b129e6d2Df6aE,0,closed,0.230925,230925000000000000,230925000000000000
0xA26F1Bde84070939E15374d8949264e05c885295,0x35e4535B8fB48eb815429104D74b3792d0E730DB,0x35e4535B8fB48eb815429104D74b3792d0E730DB,0,closed,0.204065,204065000000000000,204065000000000000
0x76b812bFBD700E339D66F057d1Df494b66E5DF88,0x67B799eF275FB013adb6c759b77546f5C16fB1E9,0xB4d2e0D66CC0444Dbf8511b362643F79F6eC06E6,1,active,0.18328,183280000000000000,183280000000000000
0xd70109BEE2F2478c9930575339DD5f5a556eb51f,0x119030aD7E6FEa8f694782898038da2E768cF6BF,0x119030aD7E6FEa8f694782898038da2E768cF6BF,0,active,0.177364,177364000000000000,177364000000000000
0x999Fe98AfF5c182a035e736101E5f8A30171c925,0x4282890fF9661a51EA367AeddF341C6f6395d4E1,0x4282890fF9661a51EA367AeddF341C6f6395d4E1,0,closed,0.161394,161394000000000000,161394000000000000
0x262b13182c626d0A9d7060D2A3D12e9aE34e976f,0x5Bb967A3B3E2EB96487d23F3bf281c38f91aBc8a,0x5Bb967A3B3E2EB96487d23F3bf281c38f91aBc8a,0,closed,0.155961,155961000000000000,155961000000000000
0x783B8cb493e564BE864f0c0d5C9f59FFc8075d7A,0x50bA55bF41580f0Ba7dF31d9d20b129e6d2Df6aE,0x50bA55bF41580f0Ba7dF31d9d20b129e6d2Df6aE,0,active,0.146344,146344000000000000,146344000000000000
0x4086519172474A05de92e911915129e41F8eaBB7,0x1e6b06dc5Cde8Df9F0237d2249f748d71DC5DE6B,0x1e6b06dc5Cde8Df9F0237d2249f748d71DC5DE6B,0,closed,0.137434,137434000000000000,137434000000000000
0x4d153A364861c7e7F2e3e32986Aa4fAcC9BeF820,0x50bA55bF41580f0Ba7dF31d9d20b129e6d2Df6aE,0x50bA55bF41580f0Ba7dF31d9d20b129e6d2Df6aE,0,closed,0.1355,135500000000000000,135500000000000000
0x1E732e61A712d0aDAa465B4AC4939AeA580b5254,0x6c2693F5a936f37eD03CfA8465bF2D8BEFf19A0f,0x6c2693F5a936f37eD03CfA8465bF2D8BEFf19A0f,0,closed,0.125147,125147000000000000,125147000000000000
0xc08CEFF850b71b0397afC689b03dA20cA9BF3936,0xc11c720C554db80A89FfEA960633429be61c6a10,0xc11c720C554db80A89FfEA960633429be61c6a10,0,active,0.1233,123300000000000000,123300000000000000
0xB66D10006E3dF741B8726182f586012A350d0a6c,0xDBCe608F77B5F2d87b12767f1711FaDd9BB6BE9e,0xDBCe608F77B5F2d87b12767f1711FaDd9BB6BE9e,0,active,0.108144,108144000000000000,108144000000000000
0x5f6A4925B4976C730C82a6D2fFB55858566DE309,0x06038913c20C1e65ce926e88b728f545FE049B2f,0x06038913c20C1e65ce926e88b728f545FE049B2f,0,closed,0.104701,104701000000000000,104701000000000000
0x1Bcd73F7B2cDF9451aF9f800939d30CeC5E18954,0x50bA55bF41580f0Ba7dF31d9d20b129e6d2Df6aE,0x50bA55bF41580f0Ba7dF31d9d20b129e6d2Df6aE,0,closed,0.088398,88398000000000000,88398000000000000
0xc12596db2c15eD8F3c616A91E84efA1bD47a1e35,0xe65560D56d70375953ebae877384EB669D33297E,0xe65560D56d70375953ebae877384EB669D33297E,0,closed,0.087337,87337000000000000,87337000000000000
0x1708E9bD35109c84dFBe8A980b4EBCfeacB6f9a5,0x4009c6ED84E7c5674066A76F61CB087319a277f8,0x4009c6ED84E7c5674066A76F61CB087319a277f8,0,closed,0.080739,80739000000000000,80739000000000000
0x1d541308E810D3fe7CE9D4b6Cd806bd36De250b9,0x4E9e95476244c166D81CF4dF3037dbF54684C4c5,0x4E9e95476244c166D81CF4dF3037dbF54684C4c5,0,closed,0.078358,78358000000000000,78358000000000000
0xF825EAebb7e4E6aCb2cbF3458fb013d4e86d9Ee8,0x1B1971053104a6Dcba7BB0f9695d461573E3AFd5,0x1B1971053104a6Dcba7BB0f9695d461573E3AFd5,0,closed,0.073991,73991000000000000,73991000000000000
0x6b3a2dC5ca7C500f9691B4f3b6dCC525Dd56400D,0x50bA55bF41580f0Ba7dF31d9d20b129e6d2Df6aE,0x50bA55bF41580f0Ba7dF31d9d20b129e6d2Df6aE,0,active,0.073331,73331000000000000,73331000000000000
0xafE249758CA2FCEc405B7BB5490c3DE86E2ba7dD,0x0EE7B598aD203b6489b713Bdf00aB18d29C42c49,0x0EE7B598aD203b6489b713Bdf00aB18d29C42c49,0,active,0.060602,60602000000000000,60602000000000000
0x886c2737eB26ae3aCb195E0d0CB6f917b588BB4d,0x440a47f5b40Fbb1E1D694A2513f3B2B8386B6D47,0x440a47f5b40Fbb1E1D694A2513f3B2B8386B6D47,0,closed,0.056166,56166000000000000,56166000000000000
0x8AfCfbB1655aA72bcD8180A546144d093A3dF7bf,0x50bA55bF41580f0Ba7dF31d9d20b129e6d2Df6aE,0x50bA55bF41580f0Ba7dF31d9d20b129e6d2Df6aE,0,closed,0.054785,54785000000000000,54785000000000000
0x7CEF37E059423EB6dAa16329765662F6D86F070F,0x65F18ff427a516EB9ffcF3A140741D9E24484d28,0x65F18ff427a516EB9ffcF3A140741D9E24484d28,0,active,0.047349,47349000000000000,47349000000000000
