proxy,owner,originalOwner,transfers,status,totalCOMP,totalWei,rewards-v2-mainnet-0xc00e94cb-7710671-25904935.merkl.json,rewards-v3-mainnet-0xc00e94cb-15331586-25935672.merkl.json
0x08edE210A26160CC8adBCC38258A25de44d3D3a1,0xfc46d4a74fDcb41c883A5177ea3dF61F6016b56B,0xfc46d4a74fDcb41c883A5177ea3dF61F6016b56B,0,active,170.778546,170778546000000000000,0,170778546000000000000
0xBa702B296e7F7666806edB7845100d229211bB27,0x44f282832496Bf95192aE687e461a9607B7bd326,0x44f282832496Bf95192aE687e461a9607B7bd326,0,closed,31.455466,31455466000000000000,0,31455466000000000000
0xC162065ea985198263E1A343476eBDbBA8B14aF9,0x5fe77169Ee8A147Ee63662160449C9Bc84570F3b,0x5fe77169Ee8A147Ee63662160449C9Bc84570F3b,0,active,21.390681,21390681000000000000,0,21390681000000000000
0x60f8B57AeA17D5b0636f5067011de93be2693F28,0xc13E09C5BAa0B807A0c03FA8f55b930265B30E86,0xc13E09C5BAa0B807A0c03FA8f55b930265B30E86,0,active,17.665087,17665087000000000000,0,17665087000000000000
0xd3a59A2b8F6FF1Eb6b951D036AC863293146184e,0x022F4d861E2903b53AeE85f51D4B7d109b75Fe1B,0x022F4d861E2903b53AeE85f51D4B7d109b75Fe1B,0,active,16.554052,16554052000000000000,0,16554052000000000000
0xdfd6EcC8aCea8720601967F40854aEd976927D93,0x022F4d861E2903b53AeE85f51D4B7d109b75Fe1B,0x022F4d861E2903b53AeE85f51D4B7d109b75Fe1B,0,closed,11.373965,11373965000000000000,0,11373965000000000000
0xc8CD6d3A55E694f62A8beb3fF79d0147B9b91C9c,0x039a8f446c97817B737aEf5F3eDc210289393553,0x039a8f446c97817B737aEf5F3eDc210289393553,0,closed,4.198956,4198956000000000000,0,4198956000000000000
0x2fF65825aa3C5F841f18C8891B665D0764a69716,0xDE9942f479E154066e1F1a36247e8B49De45eA90,0xDE9942f479E154066e1F1a36247e8B49De45eA90,0,closed,3.29862,3298620000000000000,0,3298620000000000000
0xb7Fe4b6992A1AA136B14e119D03B45517acD81b7,0xb65B600B65022E3C1D530a2CedA51Af3419EcEEa,0xb65B600B65022E3C1D530a2CedA51Af3419EcEEa,0,closed,2.780171,2780171000000000000,0,2780171000000000000
0x871870deD10a6A428D54E1Af323D5eeDb2BFD29C,0xd54E3d1bd76F05Fd3608a3060a88d1E98765406a,0xd54E3d1bd76F05Fd3608a3060a88d1E98765406a,0,active,2.631141,2631141000000000000,0,2631141000000000000
0xEA4d083C877B18F867eDfE2a181CfDF17a9bea16,0xD6Cb7a7b544E24e5160A948a16C45b1096276F9d,0xD6Cb7a7b544E24e5160A948a16C45b1096276F9d,0,closed,2.534107,2534107000000000000,0,2534107000000000000
0xc17f63e1CA28b1fc4cE55246131b9d3CBDA10025,0x0cCd5A2e92485e5e8F6CBBd53a087Ad027A70fF7,0x0cCd5A2e92485e5e8F6CBBd53a087Ad027A70fF7,0,closed,2.34479,2344790000000000000,0,2344790000000000000
0x0366E0a54a1bf82c64F0c56Bc90E00051fb5666a,0xD6Cb7a7b544E24e5160A948a16C45b1096276F9d,0xD6Cb7a7b544E24e5160A948a16C45b1096276F9d,0,closed,2.132758,2132758000000000000,0,2132758000000000000
0x0c0B66236Fe5eD0Dd198806fBcCF0b4099714716,0xFCB1f331B6BF605022A4eaC0239e5F2AcFd8f211,0xFCB1f331B6BF605022A4eaC0239e5F2AcFd8f211,0,closed,2.125608,2125608000000000000,0,2125608000000000000
0xd262C176275705adfF2f41Da70305f64C1de83Cb,0xDE9942f479E154066e1F1a36247e8B49De45eA90,0x54d0069ad0984c1489A0394dEA3A14c908940C89,1,active,1.864314,1864314000000000000,0,1864314000000000000
0xb14248CBe80A3DF06526f1B57B996368791AbE78,0xcfbC5CE4c36144BE1713F53d430cb9c3b94c9286,0xcfbC5CE4c36144BE1713F53d430cb9c3b94c9286,0,closed,1.562684,1562684000000000000,0,1562684000000000000
0xEA09a9368D249EB5042Dc7a61546f106b1CeF978,0x6f947f3683cEBBe86e21D16f23F5aa3a220a6F8a,0x6f947f3683cEBBe86e21D16f23F5aa3a220a6F8a,0,closed,1.517666,1517666000000000000,0,1517666000000000000
0xCA452b2Fe6ad4975eda3d0C33F66A07C4b905232,0x74b6a6A60256b1E04128fFD0293313D1E6107C9c,0x74b6a6A60256b1E04128fFD0293313D1E6107C9c,0,active,1.24387,1243870000000000000,0,1243870000000000000
0x2F1BB7332520a3A3bfFd89f8c2A809283c29a741,0xe56e6EA69ac4253d02Ff92583F27530e5a776B43,0xe56e6EA69ac4253d02Ff92583F27530e5a776B43,0,active,1.196057,1196057000000000000,0,1196057000000000000
0xF31bF7Aa5214F94cce538fEb5660a9C997B1AB14,0x2a6808F190795992c1175586Ae217251DC06D90F,0x2a6808F190795992c1175586Ae217251DC06D90F,0,active,1.19516,1195160000000000000,0,1195160000000000000
0xc0191f7c0E0c6665bde008AE2612c7485459B3d3,0xEBefA2C1AA5DA17c1646Cd4fF349d6D3F285DB16,0xEBefA2C1AA5DA17c1646Cd4fF349d6D3F285DB16,0,active,1.100311,1100311000000000000,0,1100311000000000000
0x171E6568c426d0b0eEAf1ea8C2315A36d02F2A01,0xA6b2BaB8caD6fDA9eF88E4Db350e8D448e104Fa1,0xA6b2BaB8caD6fDA9eF88E4Db350e8D448e104Fa1,0,closed,0.982376,982376000000000000,0,982376000000000000
0x7FDb663C0b128391013c2cdA44fe89088F4E8fe1,0x70B4f1A272f439e88a88Ca7BeeFD81f307C13a0E,0x70B4f1A272f439e88a88Ca7BeeFD81f307C13a0E,0,closed,0.751985,751985000000000000,0,751985000000000000
0x2d56bC54322D9863826463f21E743B99C6bf5dc9,0xb4D502361a3c6f823EEb9A99Af09E110382206ee,0xb4D502361a3c6f823EEb9A99Af09E110382206ee,0,active,0.68796,687960000000000000,0,687960000000000000
0x060C8F7fD924332aDaE329C2638F8B22f0d89EEd,0xAf4C6c334aA5af433fE8Da5AD2DE32b77f554A91,0xAf4C6c334aA5af433fE8Da5AD2DE32b77f554A91,0,closed,0.386338,386338000000000000,0,386338000000000000
0x2B5FE77aed015983E264cEC695528138bF870bd4,0x01f5343E66C6dDd37c7332A17E53eB61F30C5Ba8,0x01f5343E66C6dDd37c7332A17E53eB61F30C5Ba8,0,closed,0.38263,382630000000000000,0,382630000000000000
0xaBCC1d236dBaedBd5a3189A79a9AC2284b3268C1,0xdd0400a6BcEa1CE4e5db6f4C0be4c226193672F2,0xdd0400a6BcEa1CE4e5db6f4C0be4c226193672F2,0,closed,0.372024,372024000000000000,0,372024000000000000
0x73786Eaf3FbeF67bF6023b45889c6E8056b09758,0xc11c720C554db80A89FfEA960633429be61c6a10,0xc11c720C554db80A89FfEA960633429be61c6a10,0,closed,0.339782,339782000000000000,0,339782000000000000
0xf4b93cc13feFdAD8480d58263439c278068372a5,0x09Fa38EBa245bb68354B8950FA2fe71f02863393,0x09Fa38EBa245bb68354B8950FA2fe71f02863393,0,closed,0.280422,280422000000000000,0,280422000000000000
0x627929A7F9E028a1f4C2b63594906DC50f206c1E,0xa521E425f37aCC731651565B41Ce3E5022274F4F,0xa521E425f37aCC731651565B41Ce3E5022274F4F,0,closed,0.26653,266530000000000000,0,266530000000000000
0xe081ee184fAAB5d8927015Ba19876bF3A3b8a890,0xa521E425f37aCC731651565B41Ce3E5022274F4F,0xa521E425f37aCC731651565B41Ce3E5022274F4F,0,closed,0.212294,212294000000000000,0,212294000000000000
0x5B34Ff418F3206EB756Ce638Ae25F7d9495E37e8,0xa630B14CAF3783615f2D03f47B63553ba4A936c8,0xa630B14CAF3783615f2D03f47B63553ba4A936c8,0,closed,0.205676358598674652,205676358598674652,205676358598674652,0
0xcE6FF1Ddb058d094AfB462661632718934d8304E,0xA8DDc541d443d29D61375A3E4E190Ac81fB88608,0xA8DDc541d443d29D61375A3E4E190Ac81fB88608,0,closed,0.191842056650010602,191842056650010602,191842056650010602,0
0xf568553a9E91C86f4e0b128EC7809073fd475f80,0xdd0400a6BcEa1CE4e5db6f4C0be4c226193672F2,0xdd0400a6BcEa1CE4e5db6f4C0be4c226193672F2,0,closed,0.188551,188551000000000000,0,188551000000000000
0x6948F6098C7108aC67E89EBbC0904a0ad7eD6D1e,0x3A00733b1c0321Ce203A9D8b2a42702f70bDb562,0x3A00733b1c0321Ce203A9D8b2a42702f70bDb562,0,closed,0.161798,161798000000000000,0,161798000000000000
0xcdE8d2bf007d2Af3187F54A88ac828fcE8d5eC8E,0x84F46dfd49887ADD042FF8492874cB7eaae6b61E,0x84F46dfd49887ADD042FF8492874cB7eaae6b61E,0,active,0.159478,159478000000000000,0,159478000000000000
0x83c40129dC814e8a7840D3ef16349Da57d25D886,0xC0146b106a90A1215552be29BAaF6F3b1701D3DD,0xC0146b106a90A1215552be29BAaF6F3b1701D3DD,0,closed,0.156962,156962000000000000,0,156962000000000000
0x137C09D804074fC26623027864D45Fb59ed820b5,0xDE9942f479E154066e1F1a36247e8B49De45eA90,0xDE9942f479E154066e1F1a36247e8B49De45eA90,0,closed,0.150755,150755000000000000,0,150755000000000000
0x6e8809DD7a2B4fC02D1a6377d5E4141b18da8d56,0xc11c720C554db80A89FfEA960633429be61c6a10,0xc11c720C554db80A89FfEA960633429be61c6a10,0,active,0.142479,142479000000000000,0,142479000000000000
0xAfFF031C8ff5cBDD70ceBbEabE994d6179D5cda9,0x32f8c8b40b62A73D514E8bE0f58074eDBA533937,0x32f8c8b40b62A73D514E8bE0f58074eDBA533937,0,closed,0.141128,141128000000000000,0,141128000000000000
0x4313C3CF557432d87a82423cFf1f0daE8496a950,0xD360EcB91406717Ad13C4fae757b69B417E2Af6b,0xD360EcB91406717Ad13C4fae757b69B417E2Af6b,0,closed,0.123769,123769000000000000,0,123769000000000000
0x697880ae62A5af45A71F9287c04F29040D1b13E6,0x1c548493930D6De8Db946BDa03011e8AF93dDAe4,0x1c548493930D6De8Db946BDa03011e8AF93dDAe4,0,closed,0.103401,103401000000000000,0,103401000000000000
0xe6aD70eaF290fa2052CBA832358Dc3bFF9d6CD5c,0xDE9942f479E154066e1F1a36247e8B49De45eA90,0xDE9942f479E154066e1F1a36247e8B49De45eA90,0,closed,0.09729,97290000000000000,0,97290000000000000
0x618592434169915D66bD38E2290a453445254865,0xb0e93D5fcF1b13Eb1deE547589F4b8F52a50C2ff,0xb0e93D5fcF1b13Eb1deE547589F4b8F52a50C2ff,0,active,0.096438,96438000000000000,0,96438000000000000
0x030908feF4Ff0241eBEA6b80A65299B5085076bE,0xA8DDc541d443d29D61375A3E4E190Ac81fB88608,0xA8DDc541d443d29D61375A3E4E190Ac81fB88608,0,closed,0.091574556194716616,91574556194716616,91574556194716616,0
0x7dae7d17CE1e7f6a78E8A151b71771fF3B52d6c4,0x0061F971c8D134Ac863a9a0B2c11D971152aAE4C,0x0061F971c8D134Ac863a9a0B2c11D971152aAE4C,0,closed,0.058279,58279000000000000,0,58279000000000000
0x3419246f138CefAEc41092Fe2F46Ed688Df233c1,0x40bBA8B1C1140DEFC330c79e4bcBd2CC40e7a380,0x40bBA8B1C1140DEFC330c79e4bcBd2CC40e7a380,0,closed,0.057553,57553000000000000,0,57553000000000000
0x5350db108758eED204c883265324122D81452B09,0x9c0D1F4a029c46265831D120DeE9CDc72F0aB3C3,0x9c0D1F4a029c46265831D120DeE9CDc72F0aB3C3,0,closed,0.048953,48953000000000000,0,48953000000000000
0x733E6e282a81127a9648EBdEA705F2b3e69f86c6,0xDE9942f479E154066e1F1a36247e8B49De45eA90,0xDE9942f479E154066e1F1a36247e8B49De45eA90,0,closed,0.042485,42485000000000000,0,42485000000000000
0xF62056B58ABD054DAb5C645c4748A91335DaC5b7,0xD12EB6791a9db8B3F0384860Ba2829bA8aBbF5A1,0xD12EB6791a9db8B3F0384860Ba2829bA8aBbF5A1,0,closed,0.036021,36021000000000000,0,36021000000000000
0x8BBE3309DC28aeb9cD2b157b50C5ee522Af91f69,0x33D730566fB2aeB4d93db15fccA7fD980CC53Bad,0x33D730566fB2aeB4d93db15fccA7fD980CC53Bad,0,closed,0.032190891975163857,32190891975163857,32190891975163857,0
0x3E957d72fa3E833Cbad47F43f6bD0bD93B60d8Eb,0x0fc59C9C998537c940a9Dfc7DacDe533a9c496Fe,0x0fc59C9C998537c940a9Dfc7DacDe533a9c496Fe,0,closed,0.026818,26818000000000000,0,26818000000000000
0x936Ed808dd2c92eE9c046AaFcF0764A6CA0F6826,0xDE9942f479E154066e1F1a36247e8B49De45eA90,0xDE9942f479E154066e1F1a36247e8B49De45eA90,0,closed,0.022027,22027000000000000,0,22027000000000000
0x8D4A55081b8a5789B61bbbf0227fcd40c2a2EDc0,0xDE9942f479E154066e1F1a36247e8B49De45eA90,0xDE9942f479E154066e1F1a36247e8B49De45eA90,0,closed,0.020054,20054000000000000,0,20054000000000000
0x6d2623E2911a0431112b761D5a6E27BBc225a906,0xDE9942f479E154066e1F1a36247e8B49De45eA90,0xDE9942f479E154066e1F1a36247e8B49De45eA90,0,closed,0.016923,16923000000000000,0,16923000000000000
0xA15389bf33f2dE2d1678F3d6b181866D71238945,0x3A00733b1c0321Ce203A9D8b2a42702f70bDb562,0x3A00733b1c0321Ce203A9D8b2a42702f70bDb562,0,closed,0.013211,13211000000000000,0,13211000000000000
0x5ec59061F72dBA0E0566D9E70BfAD7e784E0884d,0x5CDe0913F450620e9Ac19878A48a0BCbD8a5A21E,0x5CDe0913F450620e9Ac19878A48a0BCbD8a5A21E,0,closed,0.011107,11107000000000000,0,11107000000000000
0xA4D48edDfc336cDEdEA3c596f0De7399502803c5,0x2102A31Cbd1250F6be28F35EaE0D0Ab1E7C5C023,0x2102A31Cbd1250F6be28F35EaE0D0Ab1E7C5C023,0,closed,0.008496,8496000000000000,0,8496000000000000
0x0E5e5EBCB8153DDCca85ba6d3DdA89F1d9900EaF,0x110bB30EFc9714C2406b07F3855A16A701232A45,0x110bB30EFc9714C2406b07F3855A16A701232A45,0,closed,0.006617,6617000000000000,0,6617000000000000
0xA317b8C0C2822F1d742bCc90fCc5073385008c81,0x2b9a61756cc37cDb848E63BC39292706b8a9eeD6,0x2b9a61756cc37cDb848E63BC39292706b8a9eeD6,0,closed,0.005154,5154000000000000,0,5154000000000000
0x75a0D9801390F10dF83FAdBed263c2Bb6DB49454,0xDE9942f479E154066e1F1a36247e8B49De45eA90,0xDE9942f479E154066e1F1a36247e8B49De45eA90,0,closed,0.004769,4769000000000000,0,4769000000000000
0x88B3037c62A4B929084C5bF4431496Eea29e5eA7,0x156a649b23D5B1450f90C7B39279fa913D14A48b,0x156a649b23D5B1450f90C7B39279fa913D14A48b,0,closed,0.003231617166572981,3231617166572981,3231617166572981,0
0xb3f320ACD8e5A5A66e6c4a56e27edF541a208092,0xb6643B2508F196b2fC97C826aD432575634facB4,0xb6643B2508F196b2fC97C826aD432575634facB4,0,closed,0.002693,2693000000000000,0,2693000000000000
0x516f337bD2C175BD1308eB283159AEaF8189143a,0x77FFeDC41117b7939D3D50c01661c84457C3d5F6,0x77FFeDC41117b7939D3D50c01661c84457C3d5F6,0,closed,0.001487,1487000000000000,0,1487000000000000
0x8620c7A2aA666E5c5fC27c8771eAD4cc209Fa6f6,0x87C0c0A2d4B9e39A1b6b525A2832a3e080ed6640,0x87C0c0A2d4B9e39A1b6b525A2832a3e080ed6640,0,closed,0.000825,825000000000000,0,825000000000000
0x1E0f28D97919e61c214292330d271cC0ED906Cfb,0x0d64823746506e52E74eFF356dd638b291089109,0x0d64823746506e52E74eFF356dd638b291089109,0,closed,0.000671,671000000000000,0,671000000000000
0x6E9f88c8329d6152132D4408f242c0bD78fA9Eec,0xfc2af546358825b94A40aF442ac08F27facF0859,0xfc2af546358825b94A40aF442ac08F27facF0859,0,closed,0.000288,288000000000000,0,288000000000000
0xd25fF2C45562De77Cd377c848421bc48421F0E1F,0x272C39C82CA9F10e5338A6eE75927cFe00C82e2c,0x272C39C82CA9F10e5338A6eE75927cFe00C82e2c,0,closed,0.000126,126000000000000,0,126000000000000
0xBDbC4bA6d63D7C58FEeD88fA226A653671e41198,0x518c1e1f7E6a7e6276c1C51Fc30d0c04667ED3A4,0x518c1e1f7E6a7e6276c1C51Fc30d0c04667ED3A4,0,closed,0.000076,76000000000000,0,76000000000000
0xA8fb804Fa719C01912E4E0f37D76D0D0686bd7b7,0xbeaFfFf9b912cb13373A44A121870aD206e9F522,0xbeaFfFf9b912cb13373A44A121870aD206e9F522,0,closed,0.000054,54000000000000,0,54000000000000
0x5D946D9428108fB2A3883CEd7a1dE849D3a5Db14,0x5E0936B2d7F151D02813aace33E545B970d9c634,0x5E0936B2d7F151D02813aace33E545B970d9c634,0,closed,0.000045845809874157,45845809874157,45845809874157,0
