proxy,owner,originalOwner,transfers,status,totalCOMP,totalWei,rewards-v3-optimism-0x7e7d4467-118406276-156654460.merkl.json
0xe366734e22C7241e7759858a238d3625B09407A2,0x0F687B1D213AEfB1c174cd8C136cDf563f2A7897,0x0F687B1D213AEfB1c174cd8C136cDf563f2A7897,0,active,5.875312,5875312000000000000,5875312000000000000
0xbF5716aae88185051D96aa46c20Df9339917CDe1,0x2765AbF3c2CBe6e7001f5D6F7dfC746E94eB836D,0x2eFf0710281C464c34602cb41053fE45407Dd618,1,closed,5.413179,5413179000000000000,5413179000000000000
0xdB729c3B594246F7eE26CFCf6553D060b9DfEEa2,0x0e649d15B366eE8f559Dd272f7cE6Fca4573b21D,0x0e649d15B366eE8f559Dd272f7cE6Fca4573b21D,0,active,5.234609,5234609000000000000,5234609000000000000
0xc890afe6b9ba4dc8B51Cda09ECF70255FC0bd2e4,0xCEA7CC91D88c525289cD40B4aDb386ad5eb736e3,0xCEA7CC91D88c525289cD40B4aDb386ad5eb736e3,0,closed,5.151279,5151279000000000000,5151279000000000000
0xbFD668a5370dafCd2aF14E1E99d1c1b64D679D26,0xAbEbEB53B5beD944247242d46F96D4E639E57e82,0xAbEbEB53B5beD944247242d46F96D4E639E57e82,0,active,4.362641,4362641000000000000,4362641000000000000
0xaA275E2B131219c5C75E1591da9D8D82f6fC7f1F,0x0310f2eE7f9ba988C6488EB6B3ec36423298356E,0x0310f2eE7f9ba988C6488EB6B3ec36423298356E,0,active,4.1793,4179300000000000000,4179300000000000000
0x0750127C4e18B83f251A1D36e00F0B8E9Bde45D0,0xCEA7CC91D88c525289cD40B4aDb386ad5eb736e3,0xCEA7CC91D88c525289cD40B4aDb386ad5eb736e3,0,closed,2.83489,2834890000000000000,2834890000000000000
0xA03cC164E7170C3a041B212040774eAd3CDA9089,0x0e649d15B366eE8f559Dd272f7cE6Fca4573b21D,0x0e649d15B366eE8f559Dd272f7cE6Fca4573b21D,0,active,2.726916,2726916000000000000,2726916000000000000
0x64ed7D88dd8FE13Bf90f5E34828DAeE3Be7c0A8F,0xA8DDc541d443d29D61375A3E4E190Ac81fB88608,0xA8DDc541d443d29D61375A3E4E190Ac81fB88608,0,active,2.589202,2589202000000000000,2589202000000000000
0x2595ED59739Fe6Fedc5Dc9BaB18Ee2A4F0b509e3,0xbDfA4f4492dD7b7Cf211209C4791AF8d52BF5c50,0xbDfA4f4492dD7b7Cf211209C4791AF8d52BF5c50,0,active,1.953076,1953076000000000000,1953076000000000000
0x6A9a689A46ad88292EB197984Da8631eEb36e7D1,0x420394563F1e41267DdF44ef2754e9Ce28fFCBa0,0x420394563F1e41267DdF44ef2754e9Ce28fFCBa0,0,closed,1.675592,1675592000000000000,1675592000000000000
0x908c3AADD8b463CEa8d516daf675399Bf9358a45,0xa11CBa2199d349c35F4c4EF6A4760406c69F9f79,0xa11CBa2199d349c35F4c4EF6A4760406c69F9f79,0,active,1.669388,1669388000000000000,1669388000000000000
0x926f882aa80C6F4891D2Fc7f03A0AdE6F995AfA9,0x420394563F1e41267DdF44ef2754e9Ce28fFCBa0,0x420394563F1e41267DdF44ef2754e9Ce28fFCBa0,0,closed,1.334507,1334507000000000000,1334507000000000000
0xeA1f8C0c5d1cf20B27c2E3Aa1f5256C97F401F3F,0x420394563F1e41267DdF44ef2754e9Ce28fFCBa0,0x420394563F1e41267DdF44ef2754e9Ce28fFCBa0,0,closed,1.281492,1281492000000000000,1281492000000000000
0x35E25499111d630B053E04C3be15D8cBcB8749dC,0xEdb6E2E8265956F889e1f991676aE513374a9b2E,0xEdb6E2E8265956F889e1f991676aE513374a9b2E,0,active,0.892278,892278000000000000,892278000000000000
0x980276031b53666BF0032F0d7250591c7fe15631,0x420394563F1e41267DdF44ef2754e9Ce28fFCBa0,0x420394563F1e41267DdF44ef2754e9Ce28fFCBa0,0,closed,0.800509,800509000000000000,800509000000000000
