proxy,owner,originalOwner,transfers,status,totalCOMP,totalWei,rewards-v3-polygon-0x8505b9d2-39412367-93468230.merkl.json
0x99fb4729Bb6A1A772602e88318000e612cA0c388,0x382CbBA294851d0c95A3f907FC8B3a708ea43870,0x382CbBA294851d0c95A3f907FC8B3a708ea43870,0,active,0.444301,444301000000000000,444301000000000000
0xB60d75e624DDA10c0448643EcD5DE9E8B6E2C288,0x9b2aB939eb28e5daA0CE5e16A4CA18C13b8DEEEb,0x3FbacD52FA6F1F15Bc3D776474FdAB07ec9D8d59,1,active,0.018186,18186000000000000,18186000000000000
0x356e9F7cCC4daE2489D967dF6C50F6Ac4852D055,0xEB4576fE753DAB07635c0Bb6c8f0A355e1Db5d31,0xEB4576fE753DAB07635c0Bb6c8f0A355e1Db5d31,0,active,0.015985,15985000000000000,15985000000000000
0xCEA124cb6364943985f6Ba2164a2429Bb4eA11D0,0xdE93954Cc528Ef541b261512284C844c8e0d3300,0xdE93954Cc528Ef541b261512284C844c8e0d3300,0,active,0.007804,7804000000000000,7804000000000000
0xF1650152B2B171d9fb6D7aB4E512379f69086B41,0xca4aD39F872E89Ef23eABd5716363Fc22513E147,0xca4aD39F872E89Ef23eABd5716363Fc22513E147,0,closed,0.003303,3303000000000000,3303000000000000
0x46667630DE988a52F41EafD5F892e64F5f036b59,0xaeDC687fa5376d2Fe9D4B81EbFC8C2bA30ba54aE,0xaeDC687fa5376d2Fe9D4B81EbFC8C2bA30ba54aE,0,closed,0.00188,1880000000000000,1880000000000000
0xF63f1207A3e2A5227B571E0B0DbC66542321B008,0xaeDC687fa5376d2Fe9D4B81EbFC8C2bA30ba54aE,0xaeDC687fa5376d2Fe9D4B81EbFC8C2bA30ba54aE,0,closed,0.001179,1179000000000000,1179000000000000
0xE1f863f7EaDC23d9aB052c190d29E6673D93fB32,0xB0F0bba5f8Daaa46185e2B476e4f42be853E710a,0xB0F0bba5f8Daaa46185e2B476e4f42be853E710a,0,active,0.001119,1119000000000000,1119000000000000
0x9293AAC8aC88c6C5ADAF63410820edcB8D59A5e2,0xaeDC687fa5376d2Fe9D4B81EbFC8C2bA30ba54aE,0xaeDC687fa5376d2Fe9D4B81EbFC8C2bA30ba54aE,0,closed,0.000398,398000000000000,398000000000000
0x291F6e42f846075F2DB095634c50271177bDf40b,0xaeDC687fa5376d2Fe9D4B81EbFC8C2bA30ba54aE,0xaeDC687fa5376d2Fe9D4B81EbFC8C2bA30ba54aE,0,closed,0.000248,248000000000000,248000000000000
0xb17981b12Bb2cF2c0fA55c81081bff19d0B68cef,0xc8390451711a3553E0A0CC398fA037cFfB76Cdaa,0xc8390451711a3553E0A0CC398fA037cFfB76Cdaa,0,closed,0.000248,248000000000000,248000000000000
0x7109B18b9A4A0e2bEddf8876e2105eE56D881865,0xaeDC687fa5376d2Fe9D4B81EbFC8C2bA30ba54aE,0xaeDC687fa5376d2Fe9D4B81EbFC8C2bA30ba54aE,0,closed,0.000163,163000000000000,163000000000000
0xeAe656c8294724D54e75298B267BE1b7DA2D3ba4,0xaeDC687fa5376d2Fe9D4B81EbFC8C2bA30ba54aE,0xaeDC687fa5376d2Fe9D4B81EbFC8C2bA30ba54aE,0,closed,0.000102,102000000000000,102000000000000
0xcD0c4a5d04F89f414bcE88F81155BAe2e8C79880,0xaeDC687fa5376d2Fe9D4B81EbFC8C2bA30ba54aE,0xaeDC687fa5376d2Fe9D4B81EbFC8C2bA30ba54aE,0,closed,0.000077,77000000000000,77000000000000
